,Bit-length,Lattice Dimension,N,l,c,|b_op - t|^2,P(b_op),|v_best - t|^2,P(v_best),P(|v_new - t|^2 < |b_op - t|^2),P(|v_new - t|^2 > |b_op - t|^2),E[|v_new - t|^2]
0,7.0,2.0,101.0,1.0,3.0,13.74772708486752,0.812,13.74772708486752,0.812,0.0,0.188,15.332360081729375
0,7.0,2.0,103.0,1.0,3.0,10.04987562112089,0.241,10.04987562112089,0.241,0.0,0.759,29.478419562313338
0,7.0,2.0,67.0,1.0,3.0,15.0,0.979,15.0,0.979,0.0,0.021,15.21643245505384
0,7.0,2.0,97.0,1.0,3.0,12.12435565298214,0.651,12.12435565298214,0.651,0.0,0.34900000000000003,15.54882075935279
0,7.0,2.0,89.0,1.0,3.0,17.804493814764857,0.975,17.804493814764857,0.975,0.0,0.024999999999999998,18.037075653628055
0,7.0,2.0,107.0,1.0,3.0,10.63014581273465,0.835,10.63014581273465,0.835,0.0,0.16499999999999998,13.324892807643712
0,7.0,2.0,127.0,1.0,3.0,9.899494936611665,0.985,9.899494936611665,0.985,0.0,0.015,10.289995608220359
0,7.0,2.0,67.0,1.0,3.0,15.0,0.979,15.0,0.979,0.0,0.021,15.21643245505384
0,7.0,2.0,113.0,1.0,3.0,11.357816691600547,0.977,11.357816691600547,0.977,0.0,0.023,11.857813986905702
0,7.0,2.0,79.0,1.0,3.0,21.470910553583888,0.241,21.470910553583888,0.241,0.0,0.759,27.00589402058078
0,7.0,2.0,83.0,1.0,3.0,23.345235059857504,0.866,23.345235059857504,0.866,0.0,0.134,23.556236354729666
0,7.0,2.0,103.0,1.0,3.0,10.04987562112089,0.241,10.04987562112089,0.241,0.0,0.759,29.478419562313338
0,7.0,2.0,83.0,1.0,3.0,23.345235059857504,0.866,23.345235059857504,0.866,0.0,0.134,23.556236354729666
0,7.0,2.0,67.0,1.0,3.0,15.0,0.979,15.0,0.979,0.0,0.021,15.21643245505384
0,7.0,2.0,103.0,1.0,3.0,10.04987562112089,0.241,10.04987562112089,0.241,0.0,0.759,29.478419562313338
0,7.0,2.0,79.0,1.0,3.0,21.470910553583888,0.241,21.470910553583888,0.241,0.0,0.759,27.00589402058078
0,7.0,2.0,103.0,1.0,3.0,10.04987562112089,0.241,10.04987562112089,0.241,0.0,0.759,29.478419562313338
0,8.0,3.0,149.0,1.0,3.0,7.3484692283495345,0.6759999999999999,7.3484692283495345,0.676,0.0,0.32400000000000007,9.266988588180993
0,8.0,3.0,197.0,1.0,3.0,10.099504938362077,0.925,10.099504938362077,0.925,0.0,0.07500000000000001,10.31769125536557
0,8.0,3.0,191.0,1.0,3.0,7.874007874011811,0.937,7.874007874011811,0.937,0.0,0.063,8.19959494448023
0,8.0,3.0,197.0,1.0,3.0,10.099504938362077,0.925,10.099504938362077,0.925,0.0,0.07500000000000001,10.31769125536557
0,8.0,3.0,223.0,1.0,3.0,10.04987562112089,0.42399999999999993,9.591663046625438,0.314,0.314,0.262,10.77667466513046
0,8.0,3.0,229.0,1.0,3.0,8.06225774829855,0.42099999999999993,8.06225774829855,0.421,0.0,0.5790000000000001,9.669730025658154
0,8.0,3.0,139.0,1.0,3.0,8.831760866327848,0.4149999999999999,8.831760866327848,0.415,0.0,0.5850000000000001,10.201428599591978
0,8.0,3.0,251.0,1.0,3.0,7.874007874011811,0.892,7.874007874011811,0.892,0.0,0.108,8.503328294835507
0,8.0,3.0,223.0,1.0,3.0,10.04987562112089,0.42399999999999993,9.591663046625438,0.314,0.314,0.262,10.77667466513046
0,8.0,3.0,193.0,1.0,3.0,8.54400374531753,0.48,8.54400374531753,0.48,0.0,0.52,10.781067927347857
0,8.0,3.0,227.0,1.0,3.0,10.04987562112089,0.5660000000000001,9.591663046625438,0.303,0.303,0.131,10.531392873282261
0,8.0,3.0,191.0,1.0,3.0,7.874007874011811,0.937,7.874007874011811,0.937,0.0,0.063,8.19959494448023
0,8.0,3.0,181.0,1.0,3.0,6.082762530298219,0.644,6.082762530298219,0.644,0.0,0.356,9.25189656522566
0,8.0,3.0,151.0,1.0,3.0,8.18535277187245,0.11499999999999999,8.18535277187245,0.115,0.0,0.885,15.848814582652981
0,8.0,3.0,199.0,1.0,3.0,6.4031242374328485,0.2789999999999999,6.4031242374328485,0.279,0.0,0.7210000000000001,11.030838460012653
0,8.0,3.0,223.0,1.0,3.0,10.04987562112089,0.42399999999999993,9.591663046625438,0.314,0.314,0.262,10.77667466513046
0,8.0,3.0,179.0,1.0,3.0,6.928203230275509,0.534,6.928203230275509,0.534,0.0,0.466,10.034506774757018
0,8.0,3.0,137.0,1.0,3.0,8.12403840463596,0.384,8.12403840463596,0.384,0.0,0.616,11.31660363998425
0,8.0,3.0,241.0,1.0,3.0,6.782329983125268,0.62,6.782329983125268,0.62,0.0,0.38,9.6092362701156
0,8.0,3.0,193.0,1.0,3.0,8.54400374531753,0.48,8.54400374531753,0.48,0.0,0.52,10.781067927347857
0,8.0,3.0,251.0,1.0,3.0,7.874007874011811,0.892,7.874007874011811,0.892,0.0,0.108,8.503328294835507
